street_name,calculated_eq,coordinates
"Carrer de la Palla",55.0,"[[2.011312,41.563446],[2.011255,41.563471]]"
"Carrer del Nord",58.7,"[[2.01341,41.566687],[2.013416,41.566705]]"
"Carrer del Nord",58.7,"[[2.013378,41.566712],[2.013366,41.566661]]"
"Carrer del Nord",48.3,"[[2.013732,41.567837],[2.013681,41.567752],[2.013622,41.567544]]"
"Carrer del Nord",51.0,"[[2.013622,41.567544],[2.013566,41.567336],[2.013522,41.567175]]"
"Carrer del Nord",60.7,"[[2.013522,41.567175],[2.013378,41.566712]]"
"Carrer del Nord",55.5,"[[2.01363,41.567768],[2.013513,41.567347],[2.013359,41.566713]]"
"Carrer de Vallparadís",76.7,"[[2.019315,41.558981],[2.019392,41.558814],[2.019229,41.558236]]"
"Carrer de Vallparadís",73.8,"[[2.019229,41.558236],[2.019143,41.557898],[2.019088,41.557669]]"
"Carrer de Vallparadís",64.1,"[[2.019088,41.557669],[2.019074,41.557616]]"
"Carrer de Vallparadís",69.5,"[[2.01898,41.557225],[2.019047,41.557518],[2.01906,41.557566]]"
"Carrer de Vallparadís",77.8,"[[2.01906,41.557566],[2.019074,41.557616]]"
"Carrer de Vallparadís",70.3,"[[2.01898,41.557225],[2.018623,41.555856],[2.018282,41.55446]]"
"Carrer de Vallparadís",63.9,"[[2.01817,41.553677],[2.018218,41.553698],[2.018266,41.553727]]"
"Carrer de Vallparadís",73.1,"[[2.018266,41.553727],[2.018302,41.553757],[2.018335,41.553791]]"
"Carrer de Vallparadís",77.1,"[[2.018335,41.553791],[2.018357,41.553825],[2.018373,41.553868]]"
"Carrer de Vallparadís",66.9,"[[2.018373,41.553868],[2.018384,41.553908],[2.018388,41.553998]]"
"Carrer de Vallparadís",65.5,"[[2.018388,41.553998],[2.018386,41.554076],[2.018375,41.554155]]"
"Carrer de Vallparadís",76.1,"[[2.018375,41.554155],[2.018354,41.554226],[2.018292,41.554428]]"
"Carrer de Vallparadís",74.7,"[[2.018292,41.554428],[2.018282,41.55446]]"
"Carrer de Montserrat",64.9,"[[2.010915,41.567999],[2.010922,41.568001],[2.012558,41.568408]]"
"Carrer de Montserrat",54.8,"[[2.010365,41.56777],[2.010443,41.567885],[2.010861,41.567989]]"
"Carrer de Montserrat",53.1,"[[2.010313,41.567987],[2.01043,41.567922],[2.010863,41.56802]]"
"Carrer de Montserrat",63.6,"[[2.009345,41.567601],[2.01017,41.567812],[2.010298,41.567758]]"
"Rambla d'Egara",74.2,"[[2.007923,41.562454],[2.00799,41.562969],[2.00804,41.563692]]"
"Rambla d'Egara",64.6,"[[2.00804,41.563692],[2.008041,41.563706]]"
"Rambla d'Egara",70.1,"[[2.007955,41.564263],[2.008045,41.564061],[2.008067,41.563833]]"
"Rambla d'Egara",78.3,"[[2.008067,41.563833],[2.008068,41.563817]]"
"Rambla d'Egara",70.7,"[[2.007995,41.56373],[2.008006,41.563895],[2.008002,41.563989]]"
"Rambla d'Egara",64.5,"[[2.008002,41.563989],[2.007991,41.564079],[2.007963,41.564174]]"
"Rambla d'Egara",73.7,"[[2.007963,41.564174],[2.007921,41.56427],[2.007392,41.565042]]"
"Rambla d'Egara",77.5,"[[2.007392,41.565042],[2.006839,41.565802],[2.00675,41.565911]]"
"Rambla d'Egara",67.3,"[[2.00675,41.565911],[2.006682,41.566007]]"
